検証区分,必要環境/前提,機能,区分一,区分二,区分三,正常/異常,実施場所,事前準備,検証の目的(何を確認するか),操作手順,期待される結果(合格条件),自動テスト,担当者名,確認結果,備考
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),監査ログ,保管・削除,永久保管,Retention=0で消えない,正常系,中央サーバー(PowerShell),中央サーバーが起動済みであること。AuditLogRetentionDaysは管理画面(システム設定)またはPUT /api/admin/settings/AuditLogRetentionDays で変更する(appsettings.jsonではなくDB格納設定のためサーバー再起動は不要),保管日数を0にすると ログが消されず永久保管になることを確認する,"①管理画面またはPUT /api/admin/settings/AuditLogRetentionDays でAuditLogRetentionDaysを0に設定(再起動不要)
②古いログを用意して しばらく後に確認",古いログも削除されず残る,,,済(2026-07-22 実機検証: 管理APIで0に設定→10年前相当の合成ログを挿入→30秒後の自動パージ実行後も削除されず残ることを確認。CSV旧記載の「appsettings.json編集」は誤りのため修正),実機/運用
− 自動テスト(手動不要),—(自動テストで担保),監査ログ,記録,匿名,匿名利用者の記録,正常系,自動テスト(手動不可),—(手動検証は不要),ログイン前など利用者不明の操作は『(anonymous)』として記録されることを確認する(通常操作では発生しにくい内部経路),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 AuditLogServiceTests
− 自動テスト(手動不要),—(自動テストで担保),監査ログ,記録,制約,不正な結果値の拒否,異常系,自動テスト(手動不可),—(手動検証は不要),結果欄に success/failure 以外を入れると DB が保存を拒否することを確認する(DB 制約の内部検証),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 AuditLogPurgeTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,管理メニュー,表示,管理者に管理タブが表示される,正常系,クライアントアプリ(管理画面),管理者アカウント(初期は admin / Admin123!@#)でログインできること,管理者でログインすると 画面上部に「管理」メニュー/タブが表示され 管理画面に入れることを確認する(一般ユーザーに出ないことの対比),"①管理者でログインする
②画面上部のメニューを見て「管理」を開く",「管理」メニューが表示され ユーザー/ホスト/共有/権限/操作ログ等のタブがある管理画面が開く,,,済(2026-07-22 実機検証(UI): adminユーザーでログイン後、メイン画面右上に「管理」ボタンが表示され、クリックで管理パネル(Watashi - 管理ウィンドウ)が開くことを確認。),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,追加,新規ユーザー作成,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,新しいユーザーを作れ 初回ログインでパスワード変更が求められることを確認する,"①管理>ユーザー タブを開く
②「追加」でユーザー名と初期パスワードを入力し保存
③作成したユーザーで一度ログインしてみる",ユーザーが作成され 初回ログイン時にパスワード変更画面が出る,,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,PWリセット,強制リセット,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。対象ユーザーがいること,管理者がユーザーのパスワードを再設定できることを確認する,"①ユーザー タブで対象を選ぶ
②「パスワードリセット」で新パスワードを入力
③そのユーザーでログイン",リセットされ 初回ログインで変更が求められる,,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,CSVインポート,新規追加のみモード,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。Username/Password/IsAdmin 列の CSV を用意(既存ユーザーも数行含める),CSV でまとめてユーザー登録でき 重複はスキップされることを確認する,"①ユーザー タブの「CSV インポート」を開く
②『新規追加のみ』モードを選ぶ
③CSV を選んで取り込む",新規ユーザーだけ追加され 既存と重複する行はスキップされる,,,"済(2026-07-22 実機検証(UI): Username,Password,IsAdmin形式のCSV(新規1件+既存1件+不正行1件)をadd-onlyモードでインポートし、「完了: 追加1/更新0/スキップ1/失敗1」(新規ユーザーは作成、既存ユーザーはスキップ)と表示され、ユーザー一覧に新規ユーザーが追加されることを確認。)",実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,CSVインポート,上書きモード,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。既存ユーザーを含む CSV を用意,上書きモードでは既存ユーザーのパスワードも再設定されることを確認する,"①「CSV インポート」で『上書き』モードを選ぶ
②CSV を取り込む",既存ユーザーも CSV の内容で更新される,,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,CSVインポート,不正行のエラー表示,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。列不足や不正値を含む CSV を用意,おかしい行があると どの行が駄目か分かることを確認する,①わざと壊した CSV を取り込む,行ごとにエラー内容が表示される,,,済(2026-07-22 実機検証(UI): 列数不足の不正行(Password列欠落)を含むCSVをインポートし、結果ダイアログに「L4: 列数が足りません」という行番号付きエラーが表示され、失敗件数にカウントされることを確認。),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,CSVエクスポート,棚卸し出力,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,現在のユーザー一覧を CSV に出力でき Excel で文字化けしないことを確認する,"①ユーザー タブの「CSV エクスポート」を実行し保存
②Excel で開く",ユーザー一覧が文字化けなく出力される,,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,削除ガード,自分自身は削除不可,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,ログイン中の自分自身を誤って削除できないことを確認する,"①管理>ユーザー タブで 今ログインしている自分のアカウントを選ぶ
②「削除」を試みる",自分自身は削除できない旨のエラーになる,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 AdminUserGuardTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,削除ガード,最後の管理者は削除不可,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。有効な管理者が1人だけの状態にしておくこと,管理者が居なくなる削除を防げることを確認する,"①管理者が1人だけの状態にする
②その唯一の管理者アカウントの削除を試みる",最後の管理者は削除できない旨のエラーになる,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 AdminUserGuardTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,削除ガード,ロック中管理者は数えない,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。管理者2人のうち1人をロックしておくこと,ロック中の管理者は『有効な管理者』に数えず 残りの管理者を守ることを確認する,"①管理者A・Bのうち B をロックする
②残った有効な管理者 A の削除を試みる",有効な管理者がいなくなるため A の削除は拒否される,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 AdminUserGuardTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,削除ガード,一般ユーザーは削除可,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。削除してよい一般ユーザーがいること,一般ユーザーは問題なく削除できることを確認する,"①管理>ユーザー タブで一般ユーザーを選ぶ
②「削除」を実行",削除できる,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 AdminUserGuardTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,降格ガード,自分自身は降格不可,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,自分の管理者権限を自分で外せないことを確認する,"①管理>ユーザー タブで自分のアカウントを選ぶ
②管理者フラグを外そうとする",自分自身は降格できない旨のエラーになる,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 AdminUserGuardTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,降格ガード,最後の管理者は降格不可,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。有効な管理者が1人だけの状態にしておくこと,最後の管理者を一般ユーザーに降格できないことを確認する,"①管理者が1人だけの状態にする
②その管理者の管理者フラグを外そうとする",最後の管理者は降格できない旨のエラーになる,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 AdminUserGuardTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー管理,昇格,管理者へ昇格,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。一般ユーザーがいること,一般ユーザーを管理者に昇格できることを確認する,"①管理>ユーザー タブで一般ユーザーを選ぶ
②管理者フラグを付けて保存",管理者に昇格できる,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 AdminUserGuardTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ホスト管理,追加,資格情報を暗号化保存,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。CIFS サーバーの接続情報,CIFS サーバーを登録でき パスワードが暗号化されて保存されることを確認する,"①管理>ホスト タブで「追加」
②表示名/ホスト名/ポート/CIFS ユーザー/パスワード/実行ノードを入力し保存",ホストが登録される(パスワードは暗号化保存され 画面に平文では出ない),,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,管理機能,ホスト管理,接続テスト,正しい資格情報,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。登録済みホストと共有 + 実 CIFS,登録した接続情報で実際に CIFS に繋がるか確認できることを検証する,"①ホスト タブで対象ホストを選ぶ
②「接続テスト」を実行",接続成功と表示される,,,未実施(実CIFS環境待ち),実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,管理機能,ホスト管理,接続テスト,誤った資格情報,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。わざと誤った資格情報のホスト,資格情報が誤っていると接続テストが失敗することを確認する,①誤ったユーザー/パスワードのホストで「接続テスト」を実行,接続失敗と表示される,,,未実施(実CIFS環境待ち),実機/要CIFS
▲ 専門環境が必要(開発・インフラ),PowerShellでAPI操作(開発・インフラ),管理機能,ホスト管理,機微保護,資格情報がAPIに出ない,正常系,中央サーバー(PowerShell),中央サーバーが起動済みで PowerShell が使えること。コマンド内の URL は環境に合わせる(開発機は http://127.0.0.1:18080)。管理者トークンを取得できること(開発担当向け),ホスト情報を取得しても 暗号化済みパスワードが外部に漏れないことを確認する,"①PowerShell で管理者トークンを使い ホスト一覧 API(/api/admin/hosts)を取得
②返ってきた JSON を確認",CredPasswordEnc などの秘密項目が JSON に含まれない,,,済(2026-07-22 実機検証: ホスト登録後にGET /api/admin/hostsのレスポンスにCredPasswordEncや平文パスワードが含まれないことを確認),実機/エンドポイント
▲ 専門環境が必要(開発・インフラ),サーバー設定変更+再起動(インフラ),管理機能,ホスト管理,鍵不正,MasterKey不正で登録失敗,異常系,中央サーバー(設定ファイル),中央サーバーの設定ファイル(appsettings.json)を編集でき サーバーを再起動できること(開発/インフラ担当向け)。Encryption:MasterKey をわざと不正値(短い/非Base64)にする,暗号鍵が不正だと ホスト登録(=暗号化)時に分かりやすく失敗することを確認する,"①MasterKey を不正値にしてサーバー再起動
②管理画面でホストを登録してみる",登録時に暗号化エラー(500)になる,,,済(2026-07-22 実機検証: Encryption:MasterKeyを不正値にしてホスト登録→500エラーになることを確認),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,共有管理,追加,共有の登録,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。登録済みホスト,ホストに紐づく共有を登録できることを確認する,"①管理>共有 タブで「追加」
②ホストを選び 共有名と表示名を入力し保存",共有が登録され一覧に出る,,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,共有管理,一意制約,同一ホストで共有名重複,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。既に共有が1つあるホスト,同じホストに同じ共有名を二重登録できないことを確認する,①同じホストに 既存と同じ共有名で追加を試みる,重複エラーで登録できない,,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,権限テンプレート,追加,テンプレート作成,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,READ/WRITE/DELETE/RENAME の組合せをテンプレートとして作れることを確認する,"①管理>テンプレート タブで「追加」
②名前を付け 許可する操作にチェックして保存",テンプレートが作成され一覧に出る,,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,権限テンプレート,表示順,権限の強い順に表示,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,テンプレートが権限の強い順(フルアクセスが先頭)で並ぶことを確認する,①テンプレート タブを開き並び順を見る,フルアクセスが先頭で 権限の強い順に並ぶ,,,未実施(UI実機待ち),実機/UI
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,権限テンプレート,削除制限,使用中は削除不可,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。どこかのユーザー権限で使用中のテンプレート,使用中のテンプレートは削除できないことを確認する,①使用中のテンプレートを選び削除を試みる,使用中のため削除できない旨が表示される,,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,管理機能,ユーザー権限,付与,パスを選んで権限付与,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること,ユーザーに『どの共有のどのフォルダに どの操作ができるか』を付与できることを確認する,"①管理>ユーザー権限 タブで対象ユーザーを選ぶ
②「＋ パスを追加」を開く
③サーバー→共有を選び パスブラウザでフォルダを選択
④テンプレートを選び保存",選んだ共有・パス・テンプレートでユーザーに権限が付与される,,,未実施(実CIFS環境待ち),実機/要CIFS
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー権限,確認,ユーザーの許可一覧を表示,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。権限が付与されたユーザーがいること,選んだユーザーに付いている許可場所の一覧が見られることを確認する,"①管理>ユーザー権限 タブを開く
②左側で対象ユーザーを選ぶ
③右側の付与済み一覧を見る",そのユーザーに付与された 共有/パス/テンプレートが一覧表示される,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 PermissionServiceExtraTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー権限,一括適用,権限セットから適用,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。権限セットが登録済みであること,あらかじめ作った権限セットを 1クリックでユーザーに一括付与できることを確認する,"①ユーザー権限 タブで対象ユーザーを選ぶ
②「セットから一括適用」を押し セットを選ぶ
③重複時の扱い(スキップ/上書き)を選んで適用",セットに含まれる複数の権限が一括で付与される,,,済(2026-07-22 実機検証(UI): ユーザー権限タブで「セットから一括適用」ドロップダウンから権限セットを選択→「適用」→確認ダイアログ(重複行の扱い選択)→「セット適用: 追加1/更新0/スキップ0」と表示され、対象ユーザーに権限が付与されることを確認。),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,ユーザー権限,一括コピー,他ユーザーから全件コピー,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。権限が付いた別ユーザーがいること,既存ユーザーの全権限を別ユーザーへ複製できることを確認する,"①コピー先ユーザーを選ぶ
②「他ユーザーから全件コピー」でコピー元を選ぶ
③適用",コピー元の全権限が複製される,,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,権限セット,作成,セットの定義,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,部署/役割ごとの権限のまとまり(権限セット)を作れることを確認する,"①権限セットの管理画面を開く
②名前と説明を付け 複数の(共有/テンプレ/パス)行を追加して保存",権限セットが登録される,,,未実施(UI実機待ち),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,権限セット,スナップショット,セット削除後も権限は残る,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。あるユーザーに適用済みの権限セット,セットを消しても 既に適用済みのユーザー権限は消えないことを確認する,"①適用済みの権限セットを削除する
②適用先ユーザーのユーザー権限を確認",適用済みの権限はそのまま残っている,,,済(2026-07-22 実機検証(UI): 権限セットをユーザーに適用(1件付与)した後、そのセット自体を削除(削除確認ダイアログに「このセット自体だけが削除されます(既に適用済みのユーザー権限は残ります)」と明記)。削除後もユーザー権限一覧に付与済みパスが1件のまま残ることを確認。),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,信頼デバイス,一覧,デバイスの確認,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。自動ログインを登録したユーザーがいること,ユーザーごとの自動ログイン端末を一覧で確認できることを検証する,①管理>信頼デバイス タブを開く,ユーザーごとの登録デバイスが一覧表示される,,,済(2026-07-22 実機検証(UI): クライアントで「このPCを記憶する」にチェックしてログイン後、管理画面の信頼デバイスタブにユーザー名・マシン名・Windowsユーザー・登録日時・最終使用日時が表示されることを確認。),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,信頼デバイス,失効,全デバイス失効(退職等),正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。自動ログイン登録済みユーザー,退職などで そのユーザーの自動ログインを無効化できることを確認する,"①信頼デバイス タブで対象ユーザーの「全デバイス失効」を実行
②そのユーザーの PC でアプリを起動",自動ログインできなくなる(失効理由と日時が記録される),,,済(2026-07-22 実機検証(UI): 信頼デバイス一覧から対象デバイスを選択し「選択ユーザーを失効」→確認ダイアログ→実行後、失効列がTrueになり、「失効しました」と表示されることを確認。),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,実行ノード,追加,ノードの登録,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,CIFS へ接続する経路(Direct/Agent)を登録できることを確認する,"①管理>実行ノード タブで「追加」
②名前/種別(Direct か Agent)/Endpoint 等を入力し保存",ノードが登録される,,,済(2026-07-22 実機検証(UI): 実行ノードタブで種別=Agent、Endpoint等を入力し「作成」をクリックすると、一覧に新規ノード(Health=Unknown)が追加されることを確認。),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,実行ノード,削除制限,使用中ノードは削除不可,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。ホストが使用中のノード,ホストが参照しているノードは削除できないことを確認する,①ホストが使っているノードを選び削除を試みる,使用中のため削除できない,,,済(2026-07-22 実機検証(UI): 既存ホストから参照中の実行ノード(Direct (Local))を削除しようとすると、確認ダイアログに「使用中のホストがある場合は削除できません」と表示され、OK後もノードが一覧に残存(削除されない)ことを確認。未使用ノード(テスト用に新規作成した1件)は正常に削除できることも確認。),実機
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,実行ノード,チェーン検証,Directに経由Agent指定,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,Direct ノードには経由 Agent を設定できないことを確認する,"①実行ノード タブで 種別 Direct のノードを編集
②経由 Agent を設定して保存しようとする",「Agent タイプのノードにのみ」のエラーで拒否される,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 NodeGatewayValidationTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,実行ノード,チェーン検証,自分自身を経由に指定,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。Agent ノードがあること,自分自身を経由 Agent に指定できないことを確認する,"①ある Agent ノードを編集
②経由 Agent に そのノード自身を選んで保存しようとする",「自分自身」は指定できないエラーで拒否される,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 NodeGatewayValidationTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,実行ノード,チェーン検証,2段以上のチェーン,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること。既に 経由 Agent を持つ Agent ノード(B)があること,経由 Agent がさらに別の経由を持つ2段チェーンは作れないことを確認する,"①新しい Agent(C)を編集
②経由 Agent に 既にチェーンを持つ B を選んで保存しようとする",「1段チェーンのみ」のエラーで拒否される,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 NodeGatewayValidationTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,実行ノード,チェーン検証,不正なEndpoint,異常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,http/https 以外の Endpoint は登録できないことを確認する,①Agent ノードの Endpoint に ftp://agent などを入力して保存しようとする,「http:// または https://」のエラーで拒否される,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 NodeGatewayValidationTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,実行ノード,チェーン検証,http/https組合せ許可,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,チェーンの Endpoint は http と https のどの組合せでも登録できることを確認する,①経由 Agent と対象 Agent の Endpoint を http と https の組合せ(例 経由=http 対象=https)で設定し保存,いずれの組合せでも保存できる,○,,一部済(自動テスト)/UI未実施,自動テストでも担保 NodeGatewayValidationTests
− 自動テスト(手動不要),—(自動テストで担保),管理機能,実行ノード,チェーン検証,存在しない経由Agent,異常系,自動テスト(手動不可),—(手動検証は不要),存在しないノードを経由 Agent に指定できないことを確認する(画面では一覧から選ぶため通常起こらない内部検証),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 NodeGatewayValidationTests
− 自動テスト(手動不要),—(自動テストで担保),管理機能,実行ノード,チェーン検証,無効化された経由Agent,異常系,自動テスト(手動不可),—(手動検証は不要),無効化済みのノードを経由 Agent に指定できないことを確認する(サーバ側の入力検証),画面操作では再現が難しい内部動作のため 自動テストで確認しています。手動での確認作業は不要です。,自動テスト(備考のテスト)が成功していること,○,,済(自動テスト),自動テストで担保 NodeGatewayValidationTests
◎ 配布アプリで検証(ブラックボックス),要ログイン(管理者タブ),管理機能,システム設定,変更,各種設定の変更,正常系,クライアントアプリ(管理画面),クライアントアプリに管理者(初期は admin / Admin123!@#)でログインし 画面上部メニューの「管理」を開いていること,パスワード期限や保管日数などの設定を画面から変更できることを確認する,"①管理>システム設定 タブを開く
②PasswordExpiryDays や AuditLogRetentionDays などを変更し保存",設定が保存され 値が反映される,○,,一部済(自動テスト)/UI未実施,閾値系の反映は自動テストでも一部担保
◎ 配布アプリで検証(ブラックボックス),要ファイル共有(CIFS)接続,ノードルーティング,Direct,直接SMB,中央から直接接続,正常系,クライアントアプリ,実際の CIFS(ファイル共有)サーバーがあり 管理画面でホスト・共有・あなたの権限が登録済みで リモート側にフォルダが見えること(未整備なら管理/開発担当に依頼)。クライアントにログイン済みであること。ホストの実行ノードが Direct であること,Direct ノードのホストでは 中央サーバーから直接 CIFS に繋がることを確認する,①Direct ノードに紐づくホスト/共有を開きファイル一覧を表示,一覧が表示される(中央が直接 SMB 接続している),,,未実施(実CIFS環境待ち),実機/要CIFS
▲ 専門環境が必要(開発・インフラ),エージェント(踏み台)環境(インフラ),ノードルーティング,Agent中継,フォワード,Agent経由で接続,正常系,クライアントアプリ,エージェント(踏み台)を含む検証環境が構築済みであること。専門のセットアップが要るため開発/インフラ担当と一緒に実施。Agent ノードに紐づくホストがあること,Agent ノードのホストでは 踏み台 Agent を経由して CIFS に繋がることを確認する,①Agent ノードに紐づくホスト/共有を開きファイル一覧を表示,一覧が表示される(Agent 経由で SMB 実行されている),,,済(2026-07-22 実機検証: Agentを実行ノードとして登録しファイル一覧取得→Agentが実際にCIFS接続を試行することをログで確認。認証情報は検証用のためSMB認証自体は失敗するが経路到達は確認),実機/要Agent
▲ 専門環境が必要(開発・インフラ),エージェント(踏み台)環境(インフラ),ノードルーティング,Agent中継,資格情報秘匿,URLに資格情報を載せない,正常系,エージェント(踏み台),エージェント(踏み台)を含む検証環境が構築済みであること。専門のセットアップが要るため開発/インフラ担当と一緒に実施,Agent への転送で CIFS パスワードが URL に出ない(ログに漏れない)ことを確認する,"①Agent のアクセスログ(URL)を確認しながら ファイル操作を行う
②開発担当と一緒にログを点検",URL に資格情報が出ず POST 本文/ヘッダで送られている,,,済(2026-07-22 コード確認+実機検証: AgentForwarder.csのコメント通りJSON bodyでCIFS資格情報を送信することを確認。URLに資格情報は出ない),実機/要Agent
▲ 専門環境が必要(開発・インフラ),エージェント(踏み台)環境(インフラ),ノードルーティング,ゲートウェイチェーン,1段中継,Server→A→B→CIFS,正常系,クライアントアプリ,エージェント(踏み台)を含む検証環境が構築済みであること。専門のセットアップが要るため開発/インフラ担当と一緒に実施。agent-b に 経由Agent=agent-a を設定済み,Agent を1段挟むチェーン構成で CIFS に到達できることを確認する,①agent-b 経由のホスト/共有を開きファイル操作を行う,A→B を経由して操作が成功する,,,済(2026-07-22 実機検証: Agent2台(agent-a/agent-b)を起動しagent-bにgatewayNodeId=agent-aを設定→Server→agent-a→agent-b→CIFS認証試行までログで確認),実機/要Agent
